text,date,h_date
,,
"War in einer papeterie  mit extrem vielen dicht aneinander gestapelten Büchern, wie mein schwarzes traumtagebuch. Es hatte ein Schaufenster.",1345453380000,2012-08-20 09:03:00
Ich war in Italien von Marlene Richtung vallone unterwegs. Ein Polizist oder so sperrte den weg wegen brandgefahr oder ähnlichem. Im Tal unten traf ich basil. Es hatte sehr viel grüner Wald.,1345453320000,2012-08-20 09:02:00
"Ich war in einem sehr speziellen Dorf auf einem berg, enge gässchen und hohe Häuser, tibetisch aussehend. J. Verkaufte Stoff in einem laden, auf einer linken Straßenseite. Ich ging mit jemandem (mathieu?) Und j. Richtung Tal, wo der vierwaldstettersee lag, und zwar sah ich auf das luzerner  becken hinunter, mit seinen 2 kreuzausläufern. Der Lange arm war Richtung links, hinter dem bergkamm.
Gegenüber des Sees war eine felswand, mit mehreren höhlen, so wie in fontaine de vaucluse. Es waren an die 10 oder 20 höhlen, ich dachte sowas gäbe es nur in Afghanistan oder petra. Die wohnten früher darin. Ich und der Typ sprangen dahin und dann ein schottriger weg hinunter an den See (auf der Seite der höhlen). Dann nahm ich ein mehrstöckiger Zug von da wo der See hinter dem bergkamm verschwand, Richtung Dorf.
Ich hatte den Zug schon vorhin genommen um ins Dorf zu kommen. Konnte aber mein Platz (?) Nicht mehr finden. Es waren Frau im Zug die eine Lieferung für die japanische Mafia zurechtmachte, auf der linken zugseite (dorfrichtung). Es waren eine Art büroklammern, in ketten (wie diese bewegliche uhrbänder oder halsketten, oder munitionsgürtel), sehr nahe aneinander gheftet und im Kreis geschlossen, beweglich.
Etwa 30 cm lang (insgesamt), 5 oder 7 cm hoch und Ca. 3 dick, innen hohl.
Ich sagte ihr sie solle noch mehr davon beilegen (zur Lieferung) denn dann seien die Japaner zufrieden.
Oben auf dem zugdach war ein Typ dem ich vorhin geholfen hatte/ein gefallen Tat. Er war erleuchtet/der erste/auf dem weg ins Paradies. Ich hatte eine lange Schnur/peitsche. Er schlängelte sich dessen Ende um mein linkes fussgelenk, als dank für die vorherige Hilfe, und siehe nun war auch ich wie er, ich konnte fliegen/war der erste/erleuchtet.",1345453260000,2012-08-20 09:01:00
"Auf einer Baustelle von Stefan frei, musste ich mit jemandem auf 3 Stockwerken jeweils eine Fläche von Ca. 5x5 Meter mit Erde um Ca. 10 cm auftragen, dann wieder abtragen  und planieren. Wir hatten Pläne, und Stefan frei sass am linken Ende der Baustelle, und ich sagte wart schnell ich zeigs dir auf den Plänen, welche ich dann aber nicht mehr finden konnte. Ich hatte zwar einen es war aber nicht der richtige. Ich ärgerte mich sehr dass ich ihn in kürzester Zeit verhünert hatte.",1345453200000,2012-08-20 09:00:00
"An einem heligen Ort, mitten in einem Wald, bei einem steingebäude, wollte ich/musste ich eine dusche nehmen. Sie war aber ständig von irgendwelchen Frauen besetzt, Jungen Mädchen oder sowas. Stefan war auch da. Ich schiss  den Mann (Wärter) zusammen, rechtfertigte mich damit bei ihm, ich könne so keine dusche nehmen wenn die jungen Frauen ständig drin seien.",1345539660000,2012-08-21 09:01:00
"Mit j. Auf langer Wanderung und zurück. Wir brauchten nur einen Monat, waren sehr schnell, deshalb gingen wir zurück.",1345539600000,2012-08-21 09:00:00
"Ich stritt mit Daniel Huber über eine Arbeit. Ich sagte: dann kündige ich halt!
Er wollte dies nicht und setzte alles daran um mich am gehen zu hindern. Er lud mich ein, wir Sassen an einem Tisch auf plastikstühlen, und eine Frau links von mir machte mich ständig an. Ich merkte dass sie von Daniel angestellt war, eine Hure, um mich zu Beglücken, damit ich blieb.
Ich aber war in Verspätung und hätte längst bei j. Sein müssen, welche weiter talabwärts wohnte, ich hörte sie rufen.
Als ich bei ihr ankam war sie sauer, und ich musste ihr erklären dass die andere Frau bloss eine Hure  gewesen sei welche dani  angestellt habe, und ich hätte gar nichts von ihr gewollt. J. Aber rächte sich indem sie einem gruusigen fetten alten Mann (Ca. 40) eins blies ",1345626000000,2012-08-22 09:00:00
"J. Blies mir eins, sie war richtig gierig danach, nahm ihn schnell, saugend bis an den Anschlag in den Mund.",1345712400000,2012-08-23 09:00:00
"Bei einer Ruine, welche an Rechtem Bach oder fluss Ufer gebaut war, in waldigem Gebiet (blickrichtung von flussabwärts nach aufwärts).
Mit salome, j., Sandra und andere Leute am bachufer ein bisschen weiter flussaufwärts gewesen. salome wollte baden, niemand wollte aber mit ins Wasser, also sagte ich: komm salome wir gehen baden. Wir gingen nochmals 10 oder 15 Meter flussaufwärts, um ins Wasser zu steigen.",1345798800000,2012-08-24 09:00:00
"Eine hexe bedrohte mich/uns, und ich musste gegen sie kämpfen. Ich Zauberer mit meinem schlangenstecken gegen sie. Wenn ich den schlangenkopf gegen sie hielt und ihn links-rechts ""schüttelte"", kamen kurze funken Schauer heraus, Ca 20 cm breite. Mit dem steckenboden konnte ich dumpfe donnerbass-funken, eine Art plasmabälle gegen sie schleudern. Sie gaben ein grollendes  buuuum von sich und wirkten viel besser. Dazu musste ich mit dem stumpfen Ende des steckens ein Schlag gegen sie ausheben, mit dem dicken Ende auf Distanz gegen sie ""stupsen"" (Ca. 20 cm Distanz).
Leute kamen, und mein kampfgenosse sagte ich müsse diese in mein Haus einladen, denn dann könne die hexe nicht mehr gegen mich kämpfen oder gar ins Haus kommen. Ich lud die leute also ein, und siehe, die hexe könnte sich plötzlich nur noch mehrmals verneigen vor uns.
Von innen schloss ich die holztür mit einem 4eckigen Schlüssel, welchen ich mehrmals drehte und dann von selbst rausfiel.
Das Schloss zeigte nun an ich hätte eine 50%ige überlebenschance, und es sprach: halte dich pro schlüsseldrehung jeweils einen Tag im Haus auf.",1345971660000,2012-08-26 09:01:00
