Datastore: default
Table,Record ID,Data
:info,info,"{""mtime"": {""T"": ""1413145948475""}}"
diaro_entries,9c5c56137b264253a39028caed76fa73,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""9c5c56137b264253a39028caed76fa73"", ""title"": """", ""text"": ""War in einer papeterie  mit extrem vielen dicht aneinander gestapelten B\u00fcchern, wie mein schwarzes traumtagebuch. Es hatte ein Schaufenster."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345453380000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,4fcee1a13d2707f618581f887b4d9cc8,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""4fcee1a13d2707f618581f887b4d9cc8"", ""title"": """", ""text"": ""Ich war in Italien von Marlene Richtung vallone unterwegs. Ein Polizist oder so sperrte den weg wegen brandgefahr oder \u00e4hnlichem. Im Tal unten traf ich basil. Es hatte sehr viel gr\u00fcner Wald."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345453320000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,0d8fdcb0c98d8e25a2b8752b807f013d,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""0d8fdcb0c98d8e25a2b8752b807f013d"", ""title"": """", ""text"": ""Ich war in einem sehr speziellen Dorf auf einem berg, enge g\u00e4sschen und hohe H\u00e4user, tibetisch aussehend. J. Verkaufte Stoff in einem laden, auf einer linken Stra\u00dfenseite. Ich ging mit jemandem (mathieu?) Und j. Richtung Tal, wo der vierwaldstettersee lag, und zwar sah ich auf das luzerner  becken hinunter, mit seinen 2 kreuzausl\u00e4ufern. Der Lange arm war Richtung links, hinter dem bergkamm.\nGegen\u00fcber des Sees war eine felswand, mit mehreren h\u00f6hlen, so wie in fontaine de vaucluse. Es waren an die 10 oder 20 h\u00f6hlen, ich dachte sowas g\u00e4be es nur in Afghanistan oder petra. Die wohnten fr\u00fcher darin. Ich und der Typ sprangen dahin und dann ein schottriger weg hinunter an den See (auf der Seite der h\u00f6hlen). Dann nahm ich ein mehrst\u00f6ckiger Zug von da wo der See hinter dem bergkamm verschwand, Richtung Dorf.\nIch hatte den Zug schon vorhin genommen um ins Dorf zu kommen. Konnte aber mein Platz (?) Nicht mehr finden. Es waren Frau im Zug die eine Lieferung f\u00fcr die japanische Mafia zurechtmachte, auf der linken zugseite (dorfrichtung). Es waren eine Art b\u00fcroklammern, in ketten (wie diese bewegliche uhrb\u00e4nder oder halsketten, oder munitionsg\u00fcrtel), sehr nahe aneinander gheftet und im Kreis geschlossen, beweglich.\nEtwa 30 cm lang (insgesamt), 5 oder 7 cm hoch und Ca. 3 dick, innen hohl.\nIch sagte ihr sie solle noch mehr davon beilegen (zur Lieferung) denn dann seien die Japaner zufrieden.\nOben auf dem zugdach war ein Typ dem ich vorhin geholfen hatte/ein gefallen Tat. Er war erleuchtet/der erste/auf dem weg ins Paradies. Ich hatte eine lange Schnur/peitsche. Er schl\u00e4ngelte sich dessen Ende um mein linkes fussgelenk, als dank f\u00fcr die vorherige Hilfe, und siehe nun war auch ich wie er, ich konnte fliegen/war der erste/erleuchtet."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345453260000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,d79d5805e44382078ba977c9bcef2c10,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""d79d5805e44382078ba977c9bcef2c10"", ""title"": """", ""text"": ""Auf einer Baustelle von Stefan frei, musste ich mit jemandem auf 3 Stockwerken jeweils eine Fl\u00e4che von Ca. 5x5 Meter mit Erde um Ca. 10 cm auftragen, dann wieder abtragen  und planieren. Wir hatten Pl\u00e4ne, und Stefan frei sass am linken Ende der Baustelle, und ich sagte wart schnell ich zeigs dir auf den Pl\u00e4nen, welche ich dann aber nicht mehr finden konnte. Ich hatte zwar einen es war aber nicht der richtige. Ich \u00e4rgerte mich sehr dass ich ihn in k\u00fcrzester Zeit verh\u00fcnert hatte."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345453200000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,6f6ea56a28a181691423672ae415240a,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""6f6ea56a28a181691423672ae415240a"", ""title"": """", ""text"": ""An einem heligen Ort, mitten in einem Wald, bei einem steingeb\u00e4ude, wollte ich/musste ich eine dusche nehmen. Sie war aber st\u00e4ndig von irgendwelchen Frauen besetzt, Jungen M\u00e4dchen oder sowas. Stefan war auch da. Ich schiss  den Mann (W\u00e4rter) zusammen, rechtfertigte mich damit bei ihm, ich k\u00f6nne so keine dusche nehmen wenn die jungen Frauen st\u00e4ndig drin seien."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345539660000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,2c1e5352aee9b4931f98b14e32ed85c6,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""2c1e5352aee9b4931f98b14e32ed85c6"", ""title"": """", ""text"": ""Mit j. Auf langer Wanderung und zur\u00fcck. Wir brauchten nur einen Monat, waren sehr schnell, deshalb gingen wir zur\u00fcck."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345539600000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,5273b45699fcff5442c47546e1af3dd5,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""5273b45699fcff5442c47546e1af3dd5"", ""title"": """", ""text"": ""Ich stritt mit Daniel Huber \u00fcber eine Arbeit. Ich sagte: dann k\u00fcndige ich halt!\nEr wollte dies nicht und setzte alles daran um mich am gehen zu hindern. Er lud mich ein, wir Sassen an einem Tisch auf plastikst\u00fchlen, und eine Frau links von mir machte mich st\u00e4ndig an. Ich merkte dass sie von Daniel angestellt war, eine Hure, um mich zu Begl\u00fccken, damit ich blieb.\nIch aber war in Versp\u00e4tung und h\u00e4tte l\u00e4ngst bei j. Sein m\u00fcssen, welche weiter talabw\u00e4rts wohnte, ich h\u00f6rte sie rufen.\nAls ich bei ihr ankam war sie sauer, und ich musste ihr erkl\u00e4ren dass die andere Frau bloss eine Hure  gewesen sei welche dani  angestellt habe, und ich h\u00e4tte gar nichts von ihr gewollt. J. Aber r\u00e4chte sich indem sie einem gruusigen fetten alten Mann (Ca. 40) eins blies "", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345626000000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,3d07c7ff94807a95916b824b7ef5a817,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""3d07c7ff94807a95916b824b7ef5a817"", ""title"": """", ""text"": ""J. Blies mir eins, sie war richtig gierig danach, nahm ihn schnell, saugend bis an den Anschlag in den Mund."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345712400000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
diaro_entries,bc4e9e7dedfcc387de1288929e4f817d,"{""location_coords"": """", ""photo_count"": {""I"": ""0""}, ""uid"": ""bc4e9e7dedfcc387de1288929e4f817d"", ""title"": """", ""text"": ""Bei einer Ruine, welche an Rechtem Bach oder fluss Ufer gebaut war, in waldigem Gebiet (blickrichtung von flussabw\u00e4rts nach aufw\u00e4rts).\nMit salome, j., Sandra und andere Leute am bachufer ein bisschen weiter flussaufw\u00e4rts gewesen. salome wollte baden, niemand wollte aber mit ins Wasser, also sagte ich: komm salome wir gehen baden. Wir gingen nochmals 10 oder 15 Meter flussaufw\u00e4rts, um ins Wasser zu steigen."", ""tags"": "","", ""folder_uid"": ""c654788362aa94681b878f69e11d0081"", ""location"": """", ""date"": {""T"": ""1345798800000""}, ""tag_count"": {""I"": ""0""}, ""primary_photo_uid"": """"}"
